1789120131	769932
1789120136	1053684
1789120141	1053684
1789120146	1053684
1789120151	1053684
1789120156	1053684
1789120161	1053684
1789120166	1053684
1789120171	1053684
1789120176	1053684
1789120181	1053684
1789120186	1053684
1789120191	1053684
1789120196	1069056
1789120201	1069056
1789120206	1069056
1789120211	1069056
1789120216	1071624
1789120221	1486996
1789120226	1978960
1789120231	2366832
1789120236	2953716
1789120241	2467316
1789120246	2467316
1789120251	1031188
1789120256	1055012
1789120261	1055012
1789120266	1055012
1789120271	1055012
1789120276	1055012
1789120281	1055012
1789120286	1055012
1789120291	1055012
1789120296	1055012
1789120301	1055012
1789120306	1055012
1789120311	1065256
1789120316	1070380
1789120321	1070380
1789120326	1070380
1789120331	1072944
1789120336	1376484
1789120341	2108104
1789120346	2475256
1789120351	522260
1789120356	1020408
1789120361	1098168
1789120366	1098168
1789120371	1098168
1789120377	1098168
1789120382	1098168
1789120387	1098168
1789120392	1098168
1789120397	1098168
1789120402	1098168
1789120407	1098168
1789120412	1098168
1789120417	1108412
1789120422	1113536
1789120427	1113536
1789120432	1113536
1789120437	1113536
1789120442	1253536
1789120447	1639480
1789120452	2479788
1789120457	536328
1789120462	1027892
1789120467	1112872
1789120472	1112872
1789120477	1112872
1789120482	1112872
1789120487	1112872
1789120492	1112872
1789120497	1112872
1789120502	1112872
1789120507	1112872
1789120512	1112872
1789120517	1112872
1789120522	1123116
1789120527	1123340
1789120532	1123340
1789120537	1123340
1789120542	1123340
1789120547	1375692
1789120552	1890688
1789120557	2469036
1789120562	499444
1789120567	1301480
1789120572	1644692
1789120577	1644692
1789120582	1644692
1789120587	1644692
1789120592	1644692
1789120597	1644692
1789120602	1644692
1789120607	1644692
1789120612	1644692
1789120617	1644692
1789120622	1644692
1789120627	1644692
1789120632	1644692
1789120638	1644692
1789120643	1644692
1789120648	1644692
1789120653	1644692
1789120658	1644692
1789120663	1644692
1789120668	1644692
1789120673	1644692
1789120678	1644692
1789120683	1644692
1789120688	1665176
1789120693	1675424
1789120698	1675424
1789120703	1675424
1789120708	1675424
1789120713	1675424
1789120718	1675424
1789120723	1675424
1789120728	1675424
1789120733	1680032
1789120738	2469864
1789120743	2463452
1789120748	2463452
1789120753	715980
1789120758	1631852
1789120763	1631852
1789120768	1631852
1789120773	1631852
1789120778	1631852
1789120783	1631852
1789120788	1631852
1789120793	1631852
1789120798	1631852
1789120803	1631852
1789120808	1631852
1789120813	1631852
1789120818	1631852
1789120823	1631852
1789120828	1631852
1789120833	1631852
1789120838	1631852
1789120843	1631852
1789120848	1631852
1789120853	1631852
1789120858	1631852
1789120863	1631852
1789120868	1631852
1789120873	1652336
1789120878	1652336
1789120883	1662580
1789120888	1662580
1789120893	1662580
1789120898	1662580
1789120903	1662580
1789120908	1662580
1789120913	1662580
1789120919	1670268
1789120924	1848996
1789120929	1792656
1789120934	2466672
1789120939	542828
1789120944	1101276
1789120949	1667808
1789120954	1667808
1789120959	1667808
1789120964	1667808
1789120969	1667808
1789120974	1667808
1789120979	1667808
1789120984	1667808
1789120989	1667808
1789120994	1667808
1789120999	1667808
1789121004	1667808
1789121009	1667808
1789121014	1667808
1789121019	1667808
1789121024	1667808
1789121029	1667808
1789121034	1667808
1789121039	1667808
1789121044	1667808
1789121049	1667808
1789121054	1667808
1789121059	1667808
1789121064	1688292
1789121069	1688292
1789121074	1698536
1789121079	1698536
1789121084	1698536
1789121089	1698536
1789121094	1698536
1789121099	1698536
1789121104	1698536
1789121109	1705708
1789121114	2447736
1789121119	2461572
1789121124	2461572
1789121129	746560
1789121134	1646232
1789121139	1646232
1789121144	1646232
1789121149	1646232
1789121154	1646232
1789121159	1646232
1789121164	1646232
1789121169	1646232
1789121174	1646232
1789121179	1646232
1789121184	1646232
1789121189	1646232
1789121195	1646232
1789121200	1646232
1789121205	1646232
1789121210	1646232
1789121215	1646232
1789121220	1646232
1789121225	1646232
1789121230	1646232
1789121235	1646232
1789121240	1646232
1789121245	1646232
1789121250	1646232
1789121255	1666716
1789121260	1676964
1789121265	1676964
1789121270	1676964
1789121275	1676964
1789121280	1676964
1789121285	1676964
1789121290	1676964
1789121295	1682088
1789121300	1531816
1789121305	2509712
1789121310	2425816
1789121315	2425816
1789121320	516548
1789121325	1063848
1789121330	1727180
1789121335	1727180
1789121340	1727180
1789121345	1727180
1789121350	1727180
1789121355	1727180
1789121360	1727180
1789121365	1727180
1789121370	1727180
1789121375	1727180
1789121380	1727180
1789121385	1727180
1789121390	1727180
1789121395	1727180
1789121400	1727180
1789121405	1727180
1789121410	1727180
1789121415	1727180
1789121420	1727180
1789121425	1727180
1789121430	1727180
1789121435	1727180
1789121440	1727180
1789121445	1747664
1789121450	1747664
1789121455	1757908
1789121460	1757908
1789121465	1757908
1789121470	1757908
1789121476	1757908
1789121481	1757908
1789121486	1757908
1789121491	1763032
1789121496	2114940
1789121501	2398764
1789121506	2415660
1789121511	521176
1789121516	788564
1789121521	1696916
1789121526	1696916
1789121531	1696916
1789121536	1696916
1789121541	1696916
1789121546	1696916
1789121551	1696916
1789121556	1696916
1789121561	1696916
1789121566	1696916
1789121571	1696916
1789121576	1696916
1789121581	1696916
1789121586	1696916
1789121591	1696916
1789121596	1696916
1789121601	1696916
1789121606	1696916
1789121611	1696916
1789121616	1696916
1789121621	1696916
1789121626	1696916
1789121631	1696916
1789121636	1696916
1789121641	1717400
1789121646	1727644
1789121651	1727644
1789121656	1727644
1789121661	1727644
1789121663	1727644
1789121666	1727644
1789121668	1727644
1789121671	1727644
1789121673	1727644
1789121676	1727644
1789121678	1727644
1789121681	1732768
1789121683	1735332
1789121686	1575588
1789121688	2138852
1789121691	2551092
1789121694	1992848
1789121696	2393332
1789121699	2393332
1789121701	2393332
1789121704	701324
1789121706	701324
1789121709	701324
1789121711	732056
1789121714	936740
1789121716	1294596
1789121719	1801760
1789121721	1842720
1789121724	1842720
1789121726	1842720
1789121729	1842720
1789121731	1842720
1789121734	1842720
1789121736	1842720
1789121739	1842720
1789121741	1842720
1789121744	1842720
1789121746	1842720
1789121749	1842720
1789121752	1842720
1789121754	1842720
1789121757	1842720
1789121759	1842720
1789121762	1842720
1789121764	1842720
1789121767	1842720
1789121769	1842720
1789121772	1842720
1789121774	1842720
1789121777	1842720
1789121779	1842720
1789121782	1842720
1789121784	1842720
1789121787	1842720
1789121789	1842720
1789121792	1842720
1789121794	1842720
1789121797	1842720
1789121799	1842720
1789121802	1842720
1789121804	1842720
1789121807	1842720
1789121809	1842720
1789121812	1842720
1789121814	1842720
1789121817	1842720
1789121819	1842720
1789121822	1842720
1789121824	1842720
1789121827	1842720
1789121829	1842720
1789121832	1842720
1789121834	1842720
1789121837	1863204
1789121839	1863204
1789121842	1863204
1789121844	1873448
1789121847	1873448
1789121849	1873448
1789121852	1873448
1789121854	1873448
1789121857	1873448
1789121859	1873448
1789121862	1873448
1789121864	1873448
1789121867	1873448
1789121869	1873448
1789121872	1873448
1789121874	1873448
1789121877	1873448
1789121879	1878572
1789121882	1879084
1789121884	1879536
1789121887	2278468
1789121889	2662960
1789121892	1946376
1789121894	2334764
1789121897	583176
1789121899	585348
1789121902	585348
1789121904	605832
1789121907	882560
1789121909	812708
1789121912	1629164
1789121914	1789276
1789121917	1789276
1789121919	1789276
1789121922	1789276
1789121924	1789276
1789121927	1789276
1789121929	1789276
1789121934	1789276
1789121939	1789276
1789121944	1789276
1789121949	1789276
1789121954	1789276
1789121960	1789276
1789121965	1789276
1789121970	1789276
1789121975	1789276
1789121980	1789276
1789121985	1789276
1789121990	1789276
1789121995	1789276
1789122000	1789276
1789122005	1789276
1789122010	1789276
1789122015	1789276
1789122020	1789276
1789122025	1789276
1789122030	1809764
1789122035	1809764
1789122040	1820008
1789122045	1820008
1789122050	1820008
1789122055	1820008
1789122060	1820008
1789122065	1820008
1789122070	1820008
1789122075	1825152
1789122080	2255636
1789122085	1973872
1789122090	930548
1789122095	930548
1789122100	930548
1789122105	971516
1789122110	1150608
1789122115	2060780
1789122120	2060780
1789122125	2060780
1789122130	2060780
1789122135	2060780
1789122140	2060780
1789122145	2060780
1789122150	2060780
1789122155	2060780
1789122160	2060780
1789122165	2060780
1789122170	2060780
1789122175	2060780
1789122180	2060780
1789122185	2060780
1789122190	2060780
1789122195	2060780
1789122200	2060780
1789122205	2060780
1789122210	2060780
1789122215	2060780
1789122220	2060780
1789122225	2060780
1789122230	2060780
1789122236	2081264
1789122241	2091512
1789122246	2091512
1789122251	2091512
1789122256	2091512
1789122261	2091512
1789122266	2091512
1789122271	2091512
1789122276	2099200
1789122281	2181056
1789122286	1554824
1789122291	837008
1789122296	852976
1789122301	852976
1789122306	893940
1789122311	1065420
1789122316	1971572
1789122321	1971572
1789122326	1971572
1789122331	1971572
1789122336	1971572
1789122341	1971572
1789122346	1971572
1789122351	1971572
1789122356	1971572
1789122361	1971572
1789122366	1971572
1789122371	1971572
1789122376	1971572
1789122381	1971572
1789122386	1971572
1789122391	1971572
1789122396	1971572
1789122401	1971572
1789122406	1971572
1789122411	1971572
1789122416	1971572
1789122421	1971572
1789122426	1971572
1789122431	1971572
1789122436	1992056
1789122441	2002300
1789122446	2002300
1789122451	2002300
1789122456	2002300
1789122461	2002300
1789122466	2002300
1789122471	2002300
1789122476	2007424
1789122481	2088348
1789122486	1250748
1789122491	395812
1789122496	1071616
1789122501	160720
1789122507	160720
1789122512	158404
1789122517	161724
